Reporter Country Code,Reporter Countries,pre_india_share,pre_from_india_t,pre_total_t,post_india_share,post_from_india_t,post_total_t,share_change,volume_change_t
107,Côte d'Ivoire,0.46903559220332575,1237271.77,2634157.455,0.3952497610622411,1029218.31,2650895.14,-0.07378583114108467,-208053.45999999996
147,Namibia,0.45302907449095775,12775.22,29203.28,0.5853325904475575,23406.315000000002,39793.075,0.13230351595659973,10631.095000000003
158,Niger,0.44884917721148254,671697.235,1412855.63,0.5727942419902631,528643.175,863057.505,0.12394506477878053,-143054.05999999994
75,Gambia,0.4209862623227596,87189.435,206254.31,0.330636450935498,82886.565,249662.76,-0.09034981138726161,-4302.869999999995
73,Georgia,0.4191842089333553,8245.865,20082.005,0.49923204507248764,11311.84,22512.595,0.08004783613913236,3065.9750000000004
101,Indonesia,0.4034792753430904,202771.075,506023.55,0.024617070132844324,189882.825,7154403.6,-0.3788622052102461,-12888.25
176,Timor-Leste,0.4009599946448291,96755.695,243304.96500000003,0.6148158937822735,121012.62,196827.41,0.2138558991374444,24256.92499999999
200,Singapore,0.38665063883450884,281023.27,727288.22,0.3917102509669447,335796.07999999996,858287.01,0.005059612132435831,54772.80999999994
230,Ukraine,0.3743917134132161,55825.055,150064.03999999998,0.31246609050510005,47507.4,155482.95,-0.06192562290811604,-8317.654999999999
91,Guyana,0.35910165650605264,47.725,148.67,0.44439160868088984,96.99000000000001,218.4,0.0852899521748372,49.26500000000001
112,Jordan,0.35424975577576934,141852.52000000002,400239.57,0.4207080078322541,169504.59,402903.17,0.06645825205648476,27652.069999999978
216,Thailand,0.3494190180625727,6432.0599999999995,17982.85,0.386546056895414,5706.705,15271.76,0.0371270388328413,-725.3549999999996
114,Kenya,0.34920625787165394,448234.47,1280704.39,0.6729052341830785,1214614.33,1805030.29,0.3236989763114245,766379.8600000001
144,Mozambique,0.342315705669191,961929.0650000001,2830337.795,0.4201790637500005,601060.09,1437240.555,0.07786335808080952,-360868.9750000001
108,Kazakhstan,0.320548202891048,5484.225,15687.845,0.22034208835919142,10051.66,46763.565,-0.1002061145318566,4567.4349999999995
250,Democratic Republic of the Congo,0.31807613744311114,102529.13500000001,327586.445,0.2578934276195706,99227.15,384760.29,-0.060182709823540514,-3301.985000000015
131,Malaysia,0.2760026058582389,640870.525,2356144.875,0.17284445451606958,538857.3,3086239.56,-0.1031581513421693,-102013.22499999998
184,Rwanda,0.27507266205967484,117098.025,399444.51,,,,,
57,Belarus,0.2684683556313217,14318.4,53333.66,,,,,
10,Australia,0.2590213951027799,112529.09,433918.495,0.28147853135823847,134493.015,478951.03500000003,0.022457136255458587,21963.925000000017
236,Venezuela (Bolivarian Republic of),0.25873746225713395,194471.1,751615.55,6.902306106415912e-05,66.1,957650.9500000001,-0.2586684391960698,-194405.0
136,Mauritania,0.25656979997431567,13064.515,51003.04,0.4279673888744594,20216.565,47880.955,0.17139758890014373,7152.049999999999
37,Central African Republic,0.25402875639033673,10093.199999999999,37611.05499999999,0.26517272260874786,8642.4,30555.145,0.011143966218411128,-1450.7999999999993
29,Burundi,0.22866567283730865,4110.86,17977.6,0.06352906358023368,918.73,14461.57,-0.16513660925707496,-3192.1299999999997
105,Israel,0.22275195436132197,85067.08000000002,382929.91000000003,0.2249812304236874,73423.345,327386.96499999997,0.0022292760623654206,-11643.735000000015
229,United Kingdom of Great Britain and Northern Ireland,0.21947084185850407,194353.5,887827.635,0.24184934496081234,237194.985,980824.765,0.022378503102308267,42841.484999999986
231,United States of America,0.2142004110297942,461522.83999999997,2153865.985,0.22020941715973555,586878.915,2664516.3400000003,0.006009006129941347,125356.07500000007
41,"China, mainland",0.2098099651498005,1729901.795,8046468.265000001,0.06663485948849679,251724.75,3481835.9400000004,-0.1431751056613037,-1478177.045
202,South Africa,0.20380311812344873,409401.615,2014495.605,0.2147398684293599,539142.21,2521799.165,0.01093675030591118,129740.59499999997
272,Serbia,0.2034469777892008,4608.59,22790.215,0.10898200711521128,2429.665,22006.934999999998,-0.09446497067398951,-2178.925
193,Sao Tome and Principe,0.1946585276150609,4150.35,21524.535,0.2837232565598387,5060.0,17834.28,0.08906472894477782,909.6499999999996
121,Lebanon,0.19319107047763534,24797.21,130152.075,0.3600083929518321,49262.94500000001,138007.995,0.16681732247419678,24465.735000000008
134,Malta,0.1868432611621241,1293.01,6907.385,0.26652258726416783,2911.455,10839.76,0.07967932610204373,1618.445
223,Türkiye,0.18121043654068963,145866.69,769955.63,0.15876828346922567,145488.03,983005.29,-0.022442153071463966,-378.6600000000035
66,Fiji,0.1763883002350605,14781.055,86227.075,0.06043767975880951,5266.725,90331.40999999999,-0.11595062047625099,-9514.33
33,Canada,0.17077321579320787,148182.08000000002,862070.38,0.25857965862691257,350653.8,1287931.17,0.0878064428337047,202471.71999999997
50,Cyprus,0.16442321852750869,2589.37,15737.065,0.20698500951284632,3714.23,17956.005,0.04256179098533763,1124.8600000000001
156,New Zealand,0.16234744571817616,16698.795,103022.70000000001,0.19189344424941604,23287.22,121569.79000000001,0.029545998531239875,6588.425000000003
130,Malawi,0.16225446890394923,255.385,1707.385,0.3990052410831847,2312.4249999999997,4490.025,0.23675077217923546,2057.04
168,Papua New Guinea,0.15943095505957583,89716.54,565865.2050000001,0.032325261619554777,20505.67,634354.34,-0.12710569344002104,-69210.87
