Reporter Country Code,Reporter Countries,Commodity,mean_hhi,mean_shannon_h,mean_top_share,mean_eff_suppliers_hhi,mean_import_t,mean_idr,mean_idr_norm,mean_hhi_norm,risk_score
112,Jordan,Maize,0.5287913800175077,0.8264143922841445,0.640741991776041,1.9042579754192843,678212.9199999999,0.9583371114878095,0.9576384971540786,0.41051535594666066,0.628087941597777
112,Jordan,Rice,0.25071406622507,1.7547364910488443,0.4079230309887211,4.0113666809186626,401127.4366666667,0.9946595283828069,0.9945832872660638,0.15043132330856462,0.3882814631869398
112,Jordan,Wheat,0.5800244320963732,0.8916511445782825,0.7056636944517694,2.1051867035719876,761591.1966666667,0.8992934582394487,0.8966140502920172,0.4896227452012938,0.6636187681836023
113,Kyrgyzstan,Rice,0.4548324306473053,1.1666754794952552,0.5972689257526949,2.652341548344961,16100.333333333334,0.9017285895057673,0.9003256568404419,0.437002660101161,0.6283176229531842
113,Kyrgyzstan,Wheat,0.7006130483028344,0.4832918049241804,0.7780826749056328,1.4992488853751684,305936.24666666664,0.9981522906382612,0.998103130305061,0.6439800885023306,0.8027463020202048
114,Kenya,Maize,0.6519396313495273,0.770903705771966,0.7479617287839785,1.9364629356010692,592777.62,0.9909741792419475,0.9908228318922933,0.5669079781744965,0.7505092265703706
114,Kenya,Rice,0.40978704370013413,1.0711228581571677,0.49890839517121294,2.5676763918403,1455479.6900000002,0.9993084043349483,0.9992985310447938,0.3737613305405936,0.6122689020619521
114,Kenya,Wheat,0.3180241473444763,1.5492370854503894,0.451667169825716,3.748152954787535,1866350.6900000002,0.9918920449533447,0.9916763239206329,0.1542538756458353,0.3925771854687162
115,Cambodia,Maize,0.4041427490212303,1.201261010349872,0.5566448061889113,2.6028383549034304,193175.57666666666,0.9916663446663215,0.9915266037295697,0.25221732046697143,0.5013231762930827
115,Cambodia,Wheat,0.35213124277333435,1.3130256864720018,0.4639613042193281,2.859973109881303,27663.966666666664,1.0,1.0,0.19791206498188124,0.4462185305955627
117,Republic of Korea,Maize,0.24041427455389175,1.7522802864903715,0.38029746872420245,4.216957010758178,11574847.736666666,0.9999024584705359,0.9999008228683718,0.04428967895889756,0.2129095510713527
117,Republic of Korea,Rice,0.2856411771710055,1.4020999768463591,0.3968826867955404,3.530539936823402,417338.47666666674,0.7784844152258305,0.7753220361758565,0.1994671310488982,0.3944959459388815
117,Republic of Korea,Wheat,0.2961681189290987,1.5499186132462521,0.45157450388003717,3.424846272492829,4489268.373333334,0.9922142627573797,0.9920071146825894,0.12627744978210695,0.35551007464246104
118,Kuwait,Maize,0.6288665299132317,0.6536903694012287,0.7322690479860103,1.6374994569160162,152014.06,0.9999990946963245,0.999999079515953,0.5376061992412142,0.7342644684730709
118,Kuwait,Rice,0.8492571098935615,0.4216801563722004,0.9207879424920522,1.177731485513011,376581.35333333333,0.9993388417597142,0.9993294029973359,0.9907539500232053,0.996032447637607
118,Kuwait,Wheat,0.6966317741881589,0.5532241030080239,0.8174997525912128,1.4358998473715838,451824.29000000004,0.8820207681431609,0.8788818013397858,0.6388839283951249,0.7503480682754378
119,Latvia,Maize,0.6626582826352445,0.7330368134749466,0.7998699022777669,1.5514297158115413,197342.19666666668,0.6356686875820045,0.6295594837756538,0.5805201729331502,0.6055436070588609
119,Latvia,Rice,0.13149388941473575,2.3985861822233403,0.25880658926376915,7.700138254294284,14908.666666666666,0.7914406331534211,0.7884632183901942,0.0,0.028097388106195817
120,Lao People's Democratic Republic,Wheat,0.6814216476070714,0.5022360249859368,0.8012483353924891,1.4678167232831578,2306.7766666666666,1.0,1.0,0.619414472619055,0.7880576673643079
121,Lebanon,Maize,0.19087692109570487,1.8367721546601181,0.2913466609540075,5.366046497658222,417534.00333333336,0.9921269295744324,0.991994911847237,0.0,0.031511821779250354
121,Lebanon,Rice,0.32711030486392556,1.5387721976655364,0.49321378071837224,3.199497725225554,125602.73,0.7813233109837029,0.7782014602987146,0.257687582659025,0.44896519037566457
121,Lebanon,Wheat,0.5507380242178224,0.8659575238476028,0.6950027321602157,1.821590699838043,597720.57,0.9881539139732398,0.9878387358677149,0.45213519241916433,0.6693860103474976
122,Lesotho,Maize,0.9999160458119768,0.00042025569520243194,0.9999580176480795,1.000083975285194,53222.12666666667,0.9990255572343992,0.9990092175203813,1.0,1.00050448611583
122,Lesotho,Rice,0.8828804426623232,0.25363962991159256,0.936912326241245,1.1385812970679396,11608.460000000001,0.9889393238576227,0.9887814205184655,1.0,0.9953749052186236
122,Lesotho,Wheat,0.7767282004768964,0.4892964065383607,0.872523268709695,1.335640677665859,66546.94666666667,0.7392030493605871,0.7322642605789147,0.7414099541409481,0.7378229368009566
