Reporter Country Code,Reporter Countries,baseline_t,from_india_t,remaining_suppliers,remaining_volume_t,share_lost,volume_gap_kt
99,Iceland,3495.825,429.95,43,3065.875,0.12298956612530662,0.42995
81,Ghana,1209963.035,145511.345,68,1064451.69,0.1202609838407171,145.511345
146,Republic of Moldova,18627.21,2145.8,35,16481.41,0.1151970692336641,2.1458000000000004
113,Kyrgyzstan,13781.790000000003,1393.845,14,12387.945000000002,0.10113671736399987,1.393845
211,Switzerland,140720.22,13480.654999999999,58,127239.56499999999,0.0957975691055628,13.480654999999999
273,Montenegro,3605.7349999999997,297.29499999999996,29,3308.4399999999996,0.0824505960643253,0.297295
162,Norway,53061.26,4331.975,46,48729.284999999996,0.0816410126710146,4.331975000000001
26,Brunei Darussalam,56722.145,4474.225,16,52247.92,0.07887968623189409,4.474225000000001
35,Cabo Verde,75932.325,5272.48,21,70659.845,0.06943656736442615,5.27248
84,Greece,43716.57,2882.4300000000003,34,40834.14,0.065934495775858,2.8824300000000003
210,Sweden,129905.97,8284.98,52,121620.99,0.06377674559529481,8.28498
181,Zimbabwe,228783.91,14077.695,19,214706.215,0.061532714429087254,14.077695
106,Italy,450372.16500000004,27344.420000000002,54,423027.745,0.06071516431305207,27.344420000000003
115,Cambodia,12557.339999999998,704.215,8,11853.124999999998,0.056079950053116355,0.704215
3,Albania,19237.17,1021.78,6,18215.39,0.053114881242927105,1.02178
63,Estonia,7986.785,409.365,23,7577.42,0.051255292336027575,0.40936500000000003
251,Zambia,55788.335,2347.36,27,53440.975,0.04207617954541931,2.34736
255,Belgium,734340.245,29780.574999999997,65,704559.67,0.04055419160637178,29.780574999999995
79,Germany,403475.85,14948.6,67,388527.25,0.03704955327561737,14.9486
68,France,985968.83,31818.495000000003,77,954150.335,0.03227129908356231,31.818495000000002
9,Argentina,4301.839999999999,123.64499999999998,13,4178.195,0.02874235210979488,0.12364499999999998
40,Chile,349213.61,9618.294999999998,27,339595.315,0.027542726642297816,9.618294999999998
203,Spain,443825.67,12161.335,50,431664.335,0.027401152799476424,12.161335
54,Denmark,76807.545,1677.04,43,75130.505,0.021834313282633886,1.6770399999999999
11,Austria,71445.14,1506.645,41,69938.495,0.0210881383954178,1.506645
117,Republic of Korea,489235.355,10000.16,22,479235.19500000007,0.020440387019862862,10.00016
222,Tunisia,46447.84,901.0749999999999,14,45546.765,0.01939971804932156,0.901075
23,Belize,291.72,5.21,7,286.51000000000005,0.01785959138900315,0.00521
154,North Macedonia,471.55000000000007,8.4,15,463.15000000000003,0.01781359346834906,0.008400000000000001
21,Brazil,1210564.26,17854.25,15,1192710.01,0.014748700742247255,17.85425
174,Portugal,203216.405,2821.38,39,200395.025,0.013883623224217554,2.82138
234,Uruguay,437.065,6.0,12,431.065,0.013727935204145836,0.006
58,Ecuador,1247.065,16.33,6,1230.7350000000001,0.013094746464699112,0.016329999999999997
220,Trinidad and Tobago,28323.9,364.65999999999997,16,27959.24,0.01287463943877785,0.36466
74,Gabon,149911.865,1919.225,20,147992.64,0.012802355570721504,1.919225
256,Luxembourg,6615.259999999999,78.9,15,6536.359999999999,0.011926968856855213,0.07890000000000001
67,Finland,63926.96,681.615,29,63245.345,0.01066240284224371,0.681615
198,Slovenia,38215.88,379.12,27,37836.76,0.009920483317406272,0.37912
173,Poland,298195.105,2912.56,41,295282.545,0.00976729648194594,2.91256
208,Tajikistan,55736.315,543.195,11,55193.12,0.009745800381672165,0.5431950000000001
20,Botswana,73495.26,683.9449999999999,17,72811.31499999999,0.00930597429004265,0.6839449999999999
109,Jamaica,142205.13499999998,1202.52,12,141002.615,0.008456234720356618,1.20252
119,Latvia,15579.455,129.885,30,15449.57,0.00833694118311584,0.129885
19,Bolivia (Plurinational State of),15804.47,118.14,9,15686.33,0.007475100398811223,0.11814
214,"China, Taiwan Province of",187980.235,1228.17,10,186752.065,0.006533506035887231,1.22817
169,Paraguay,1386.79,8.760000000000002,11,1378.03,0.006316745866353234,0.008760000000000002
207,Suriname,516.36,3.22,7,513.14,0.006235959408164847,0.00322
226,Uganda,829153.51,4444.95,22,824708.56,0.00536082878066813,4.4449499999999995
157,Nicaragua,105635.63500000001,551.08,14,105084.555,0.005216800183006426,0.55108
141,Mongolia,102229.875,458.375,19,101771.5,0.004483767587508055,0.458375
171,Philippines,6036068.295,22450.260000000002,17,6013618.035,0.0037193515551500237,22.450260000000004
27,Bulgaria,121639.45499999999,451.84000000000003,31,121187.61499999999,0.003714584219404798,0.45184
96,"China, Hong Kong SAR",568191.1499999999,1953.21,23,566237.94,0.0034375931409702533,1.9532100000000001
98,Croatia,25367.739999999998,84.87,24,25282.87,0.0033455877425423003,0.08487
83,Kiribati,15297.329999999998,50.8,7,15246.529999999997,0.003320840957212795,0.0508
167,Czechia,192385.855,605.1700000000001,45,191780.685,0.0031456054812345744,0.6051700000000001
120,Lao People's Democratic Republic,151054.88999999998,458.0,9,150596.88999999998,0.0030320104168756142,0.458
235,Uzbekistan,35943.39,106.92,15,35836.47,0.002974677680652827,0.10692
89,Guatemala,109216.065,312.92,22,108903.145,0.002865146258473971,0.31292000000000003
110,Japan,665798.53,1768.0,15,664030.53,0.002655457950620588,1.768
126,Lithuania,40363.784999999996,102.09,30,40261.695,0.002529247442973943,0.10209
183,Romania,133685.94,335.955,33,133349.985,0.0025130167016815677,0.335955
70,French Polynesia,22167.965,26.445,23,22141.52,0.0011929376467348265,0.026445
97,Hungary,81739.275,96.83000000000001,33,81642.445,0.0011846202452860026,0.09683000000000001
44,Colombia,155752.45,148.115,9,155604.33500000002,0.0009509641742393137,0.148115
138,Mexico,968069.13,881.78,7,967187.3500000001,0.0009108647023999205,0.88178
56,Dominican Republic,59108.17999999999,51.79,9,59056.38999999999,0.0008761900637103021,0.051789999999999996
199,Slovakia,60830.885,41.92,27,60788.965,0.0006891236252768639,0.04192
219,Tonga,1245.37,0.8,12,1244.57,0.0006423793731983267,0.0008
128,"China, Macao SAR",56005.3,12.62,28,55992.68000000001,0.00022533581643165913,0.01262
60,El Salvador,93140.52,17.34,19,93123.18000000001,0.0001861703155619058,0.01734
48,Costa Rica,167789.385,20.634999999999998,16,167768.75,0.000122981558100353,0.020634999999999997
170,Peru,353622.08499999996,38.7,14,353583.385,0.00010943886607082249,0.038700000000000005
166,Panama,44083.865,0.94,10,44082.925,2.1322994251978586e-05,0.00094
14,Barbados,6133.945,0.13,15,6133.815,2.119353857916887e-05,0.00013000000000000002
191,Saint Vincent and the Grenadines,2387.1800000000003,0.02,22,2387.1600000000003,8.378086277532485e-06,2e-05
95,Honduras,123634.29,0.74,16,123633.54999999999,5.98539450503578e-06,0.00074
49,Cuba,774739.81,4.0,28,774735.81,5.1630236995308136e-06,0.004
